Name;NoF;CTC;eCTC;pruProp;pruTime;priProp;priTime;packTime
100-10-2-2;100;10;2;1;38;2;44;53
100-10-2-3;100;10;2;1;33;1;38;51
100-10-2-4;100;10;2;2;46;1;42;51
100-10-2-5;100;10;2;1;35;1;42;53
100-10-2-6;100;10;2;1;33;1;32;41
100-10-2-7;100;10;2;1;45;1;41;51
100-10-2-8;100;10;2;2;24;3;25;34
100-10-2-9;100;10;2;0;46;2;48;61
100-10-5-0;100;10;5;2;24;3;28;41
100-10-5-1;100;10;5;2;16;3;16;26
100-10-5-2;100;10;5;2;18;3;20;30
100-10-5-3;100;10;5;1;38;1;44;54
100-10-5-4;100;10;5;1;29;2;31;42
100-10-5-5;100;10;5;2;21;3;19;28
100-10-5-6;100;10;5;1;26;2;33;48
100-10-5-7;100;10;5;2;28;3;38;55
100-10-5-8;100;10;5;1;1;3;0;6
100-10-5-9;100;10;5;2;20;3;24;35
100-15-0-0;100;15;0;2;19;2;24;35
100-15-0-1;100;15;0;1;48;1;48;59
100-15-0-2;100;15;0;2;20;4;20;32
100-15-0-3;100;15;0;3;22;3;21;33
100-15-0-4;100;15;0;1;49;1;48;56
100-15-0-5;100;15;0;1;46;1;36;42
100-15-0-6;100;15;0;1;40;2;45;50
100-15-0-7;100;15;0;1;36;2;36;44
100-15-0-8;100;15;0;1;36;2;37;48
100-15-0-9;100;15;0;2;44;2;45;56
100-15-2-0;100;15;2;1;35;2;45;59
100-15-2-1;100;15;2;2;37;2;38;47
100-15-2-2;100;15;2;2;5;2;7;14
100-15-2-3;100;15;2;1;48;1;52;59
100-15-2-4;100;15;2;2;40;2;47;57
100-15-2-5;100;15;2;1;37;1;40;47
100-15-2-6;100;15;2;2;20;3;21;30
100-15-2-7;100;15;2;1;36;1;40;49
100-15-2-8;100;15;2;1;34;3;34;42
100-15-2-9;100;15;2;1;45;1;46;58
100-15-5-0;100;15;5;2;30;1;35;42
100-15-5-1;100;15;5;2;35;2;38;57
100-15-5-2;100;15;5;2;20;2;25;35
100-15-5-3;100;15;5;2;30;3;32;45
100-15-5-4;100;15;5;1;42;1;47;57
100-15-5-5;100;15;5;1;29;1;27;34
100-15-5-6;100;15;5;2;27;2;40;55
100-15-5-7;100;15;5;2;8;3;8;17
100-15-5-8;100;15;5;1;27;3;31;42
100-15-5-9;100;15;5;2;39;2;39;46
200-5-0-0;200;5;0;2;176;4;210;270
200-5-0-1;200;5;0;9;15;14;21;53
200-5-0-2;200;5;0;5;172;8;206;268
200-5-0-3;200;5;0;4;170;6;195;236
200-5-0-4;200;5;0;5;173;7;169;220
200-5-0-5;200;5;0;3;174;3;213;253
200-5-0-6;200;5;0;2;174;3;188;244
200-5-0-7;200;5;0;3;196;4;222;260
200-5-0-8;200;5;0;4;178;7;192;235
200-5-0-9;200;5;0;5;179;7;198;246
200-5-2-0;200;5;2;7;53;12;65;116
200-5-2-1;200;5;2;5;173;8;154;190
200-5-2-2;200;5;2;4;186;6;196;235
200-5-2-3;200;5;2;4;228;5;163;183
200-5-2-4;200;5;2;3;192;5;192;227
200-5-2-5;200;5;2;4;179;8;179;228
200-5-2-6;200;5;2;4;103;5;148;194
200-5-2-7;200;5;2;4;210;5;193;244
200-5-2-8;200;5;2;3;168;4;169;201
200-5-2-9;200;5;2;2;166;5;153;193
200-5-5-0;200;5;5;4;164;8;199;256
200-5-5-1;200;5;5;2;100;7;123;176
200-5-5-2;200;5;5;3;153;4;170;225
200-5-5-3;200;5;5;2;174;3;181;226
200-5-5-4;200;5;5;4;160;6;206;256
200-5-5-5;200;5;5;4;122;5;135;180
200-5-5-6;200;5;5;5;167;9;176;228
200-5-5-7;200;5;5;3;163;4;176;230
